trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",20,-29,-182.57033473569098,"{0: 31, 1: 8, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",20,-89,-568.5015902629634,"{0: 73, 1: 10, 2: 14, 3: 0, 4: 12}",0
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",25,3,-79.3981809300451,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",25,-6,-80.70771193620325,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",20,-93,-336.7698682364364,"{0: 78, 1: 9, 2: 21, 3: 0, 4: 5}",0
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",25,13,-25.353302590415574,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",20,8,-19.784797759722945,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",20,-30,-101.49631210362827,"{0: 38, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",25,-45,-74.51508634881169,"{0: 57, 1: 5, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",20,-31,-26.313210654210387,"{0: 43, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",20,1,-35.372059954609675,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",25,15,-0.45209310439308203,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",20,-8,-41.64675211805092,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",25,10,23.366642167942704,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",20,-21,-14.208784553889924,"{0: 39, 1: 0, 2: 0, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",20,-16,-0.4971583568838218,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",20,-18,10.300167076934141,"{0: 36, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",25,10,25.724242687282477,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",20,8,11.84178614634121,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",30,23,12.811832206398572,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,13,22.47872959495297,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,6,23.243237857217576,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,11,21.827281807299435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,14,12.599607871893832,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,-13,64.00829989940532,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,12,-63.151088762882864,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,1,44.23103699066703,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",35,25,18.13892170658856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,6,-25.25688172885539,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,15,15.724588514872472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",30,21,18.454409815933687,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,-7,35.72546842388837,"{0: 31, 1: 0, 2: 0, 3: 1, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",25,2,40.02406281222227,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",20,15,-32.07792391074447,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,-11,13.730267229208692,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,True,"{'a': 0.0, 'e': 0.0}",20,14,9.387134753464755,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",20,3,31.704453804049397,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",20,13,-26.504343881253845,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,4,-10.948829944524611,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,True,"{'a': 0.0, 'e': 0.0}",30,6,43.45667724442183,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",25,-27,93.60528262721019,"{0: 52, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.0, 'e': 0.0}",20,0,40.52060689395442,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",20,-9,53.26308536198575,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0.0, 'e': 0.0}",20,8,24.81856746447853,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",25,-4,50.46884668757281,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0.0, 'e': 0.0}",20,3,30.949900159631266,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0.0, 'e': 0.0}",25,8,32.45351054087692,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",20,-18,57.82280339735208,"{0: 38, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",30,20,17.201548915612925,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",20,-9,49.60868094801731,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,True,"{'a': 0.0, 'e': 0.0}",35,23,18.905386789026185,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0.0, 'e': 0.0}",25,18,12.485349227492147,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.0, 'e': 0.0}",20,13,7.521688536591375,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.0, 'e': 0.0}",20,1,32.014772650318314,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",20,3,26.608732332370593,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.0, 'e': 0.0}",25,9,35.21731435043248,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
